IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 50521) | bytes : 144 | first_exchange : 17.122 | last_exchange : 17.122
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 51653) | bytes : 358 | first_exchange : 17.125 | last_exchange : 17.125
IPv4Addr(172.21.140.38) -> IPv4Addr(142.250.184.42) | UDP (49773 -> 443) | bytes : 2692 | first_exchange : 17.130 | last_exchange : 17.525
IPv4Addr(142.250.184.42) -> IPv4Addr(172.21.140.38) | UDP (443 -> 49773) | bytes : 3216 | first_exchange : 17.188 | last_exchange : 17.404
IPv4Addr(172.21.140.38) -> IPv4Addr(142.250.184.46) | UDP (61241 -> 443) | bytes : 7623 | first_exchange : 17.948 | last_exchange : 21.859
IPv4Addr(142.250.184.46) -> IPv4Addr(172.21.140.38) | UDP (443 -> 61241) | bytes : 3626 | first_exchange : 17.958 | last_exchange : 18.041
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (52131 -> 53) | bytes : 80 | first_exchange : 18.420 | last_exchange : 18.420
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (63579 -> 53) | bytes : 80 | first_exchange : 18.422 | last_exchange : 18.422
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 52131) | bytes : 344 | first_exchange : 18.428 | last_exchange : 18.428
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 63579) | bytes : 353 | first_exchange : 18.444 | last_exchange : 18.444
IPv4Addr(172.21.140.38) -> IPv4Addr(142.250.180.162) | UDP (51950 -> 443) | bytes : 3538 | first_exchange : 18.447 | last_exchange : 21.320
IPv4Addr(142.250.180.162) -> IPv4Addr(172.21.140.38) | UDP (443 -> 51950) | bytes : 3180 | first_exchange : 18.484 | last_exchange : 21.316
IPv4Addr(172.21.140.38) -> IPv4Addr(142.250.180.163) | UDP (57875 -> 443) | bytes : 1682 | first_exchange : 21.489 | last_exchange : 21.523
IPv4Addr(142.250.180.163) -> IPv4Addr(172.21.140.38) | UDP (443 -> 57875) | bytes : 2510 | first_exchange : 21.500 | last_exchange : 21.519
